"","inpc","delictivo","tiie_28","pib","busqueda","ops_spei","monto_spei","ops_tpv_deb","monto_tpv_deb","ops_tpv_cred","monto_tpv_cred","ops_cheques","monto_cheques"
"43",87.4727046666667,24966.6666666667,3.31755076923077,18660103.1,288,55269978,52842716.55,401887148,195831,177258154,153127,75836168,1928362
"44",88.6454016666667,24940.6666666667,3.34687142857143,19322237.1,331,61320911,53836041.18,438512562,201134,184246555,169880,78127631,2132691
"45",89.6913876666667,23772,3.789965,18998803.5,249,56927862,51060912.28,387034858,184249,182653725,157940,66504826,1756462
"46",89.3916403333333,24575,4.08040307692308,19985386.6,300,65444481,53471791.53,403034324,187714,195999652,168792,67473159,1801866
"47",89.907997,25548.3333333333,4.58725230769231,20149438.1,283,69261165,57191894.49,422101329,198252,205597049,177443,67712988,1801629
"48",91.5206743333333,27936,5.42942741935484,21329515.4,261,76459984,59108391.77,459888261,233517,217665815,202292,69666449,2110779
"49",94.1570503333333,29915.3333333333,6.39630793650794,21152197,281,75327209,60485408.08,444087193,217983,211834594,191296,62396956,1960567
"50",94.842689,30405,7.02953870967742,21657545.8,275,82164030,55259575.07,475096166,230769,225078512,200806,63638215,1826534
"51",95.736673,31539,7.37288461538462,21599336.4,308,88084699,54302408.15,487013493,234006,228766507,202597,62419074,1720589
"52",97.555442,31328.6666666667,7.41858360655738,22732003.6,353,100888447,57039316.08,523986159,269130,242475442,226144,63727475,1845839
